tbl_DEXA_Data.Lean,qry_MR_180_Data.Lean,BW
18.4,18.9,23.3
21.9,21.4,29.2
21.4,21.4,26.3
25.4,24.9,32.2
24.9,25.7,29.5
21.1,18,24.8
21.4,20.4,25.7
22.7,22.1,27.4
21.7,21.1,27.1
27.8,27.6,37.1
27,26.7,35.2
28.2,27.4,35.7
26.7,24.5,36.8
22.1,21.8,26.7
23,21.5,28.4
24.5,24.9,30
20.7,20.4,26.4
21.2,21,26.7
20.2,18,25.2
20.4,18.3,25.2
21.7,21,27.2
22.1,24.5,31.2
23.7,23.9,31.7
21.4,20.9,25.4
23.8,22.9,32.7
23.4,23.3,29
22.6,22.3,27.6
23.7,23.5,28.2
22.4,22.6,27.1
20.7,20.2,25.7
22,22,28.9
23.2,23,29.3
21.6,20.1,27.2
20.5,20,28.2
20.4,19.8,26
25.3,24.9,31.7
20.7,21.3,25.6
21.9,21.9,28.5
23.4,23.8,30.2
19.3,19.2,24.1
18.3,18.5,23
16.5,16.6,21.4
20.4,20.2,25.4
20.9,21.6,26.1
18.6,18.8,23.5
21.7,22.8,26.4
23.5,24.1,28.5
19.6,17.6,23.9
19.8,17.3,25.1
18.9,22.1,23.6
19.4,22.8,24.6
20.9,24.1,27.9
18.5,21.1,23.2
19.6,22.1,23.8
26,23.9,32
27.5,24.4,34.4
23.9,23.4,30.9
24.3,21.9,30
23.8,22.7,29.5
22.7,22.4,29.5
24.7,23.6,29.4
22.3,24.8,26.4
27.8,29.8,34.3
26.5,29,32
23,25.9,27.8
25.1,27.4,30.8
25.6,27.6,32
21.3,23.3,24.7
22.5,24.1,25.8
23.2,26.2,27.8
22.8,25.2,27.2
20.2,17.9,23.9
21.6,18.6,25.5
27.1,24,32.9
26.7,24,31.2
24.3,20.7,29.9
21.6,20.7,25.4
22.4,21.2,26.2
21.9,21,26.1
20.4,18.8,23.9
28.4,27.7,32.5
27,25.9,34.1
26.2,26,30.6
23.4,22.2,27.1
26.8,26,34.1
26.2,25.5,31.1
26.4,26.1,30.7
25.8,26,34.1
29.2,29,34
27.7,28.8,33.5
22.5,21.2,26.6
21.8,20.9,25.7
21.6,20.2,26.2
21.1,19.4,25.8
22.6,22.4,28.6
23.8,23.3,29
20.7,20.5,24.9
24.2,24.1,30.6
27.2,25.9,35.5
20.9,20.4,26.2
23.5,23.3,27.7
22.9,22.7,27.3
19.5,18.2,23
26,24.6,33.4
26.1,25.8,31
25,26.4,30.3
29.7,28.8,37.8
31.4,29.8,40.1
23.1,22.8,27.1
21.1,20.8,23.5
23.4,22.3,29
21.1,20.1,25
23.8,23.2,29.7
25.9,24,31.6
23.3,22.4,27.4
26.9,25.1,35.9
21.7,21.5,25.8
23.6,22.5,29
21.6,20.6,25.9
23.3,22,30.2
25.4,24.9,31.9
24.8,22.8,29.6
24.2,23.6,28
25.9,25,31.8
26,25.3,32.3
22.1,22.2,27.5
24.1,23,30.3
26.4,26.1,33.7
25.6,25,30.9
27.7,25.6,31.5
33.2,30.8,42.5
26.6,22,35.4
23.3,20.4,28.9
26,22.8,35
19.8,17.4,22.7
24.8,21.9,31.6
28,26.3,35.1
29.3,26.2,35.9
25.3,23,30.1
26,23.3,33.7
26.8,23.1,36.3
28.1,25,38.1
24.6,22.9,31.3
24.4,22.2,29.4
23.1,21,29.4
24.8,23.3,31.2
24.1,22,30.2
22.3,19.8,27.3
22.5,19.4,28.5
26.1,23.9,36
23.9,22.1,30.8
22,20.6,27.5
24.4,21.2,31
21.6,19.1,27.6
21,18.9,26.1
26.4,22.6,34.6
27,22.4,34.2
25.4,20.8,31.8
24.8,20.7,30.9
25.6,21,32
25.9,21.8,30.7
24.4,19.4,29.8
23.6,19.5,30.1
21.3,17.3,26.5
25.4,21.2,31.2
23.6,20.1,26.9
23.4,19.9,27.4
25.2,22.7,28.7
26.5,22.8,31.6
24.3,20.3,29.8
23.7,20.6,29.1
29.2,25.3,35.7
26.7,23.6,31.7
24.9,21.6,33.3
26.1,22.5,33.9
25.1,21.2,33.7
25.2,21.4,33.9
25.1,21.5,33.1
22.5,20.3,28.2
22.9,19.7,27.5
26,21.9,32.7
25.1,22.4,30.2
25.4,23,31
25.4,22.8,31.4
21.7,19.7,26.6
22.5,20.2,29.4
22.8,20.1,27.1
23.3,20.7,28.8
21.3,20.1,26.1
26.8,24.3,31.6
28.9,25.8,34
25.5,22.1,30.2
27.4,25.6,33.7
26.9,24.8,33.7
23,20.9,27.9
24.2,22.4,29.9
24.3,22.3,28.8
24.8,22.6,30.3
22.9,21.6,27.9
25.6,22.9,32.6
26,23.8,32.7
24.1,22.7,28.3
25.5,24.3,33.3
24.8,23.3,29.1
28.1,25.5,33.1
24.9,23.3,30.3
25.4,24.1,29.4
20.5,19.4,23.9
21.8,20.4,25.6
22.8,20.6,26.3
22.3,19.9,28
28.5,26,34.3
27.9,25.1,34.3
28.8,25.6,34.3
25.4,23.6,33.3
24.5,21.4,30.5
24.7,23.2,32.1
